Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
Mar01_2021,18047768,56543,468217,1378,16324992,1254559,18969
Mar02_2021,18128302,80534,470463,2246,16418726,1239113,18957
Mar03_2021,18229558,101256,473032,2569,16503952,1252574,19018
Mar04_2021,18328326,98768,475568,2536,16566282,1286476,19066
Mar05_2021,18433991,105665,477957,2389,16629377,1326657,18796
Mar06_2021,18527320,93329,480005,2048,16686825,1360490,18832
Mar07_2021,18629799,102479,481476,1471,16772036,1376287,18835
Mar08_2021,18684801,55002,483192,1716,16819900,1381709,18932
Mar09_2021,18778739,93938,485646,2454,16902022,1391071,19022
Mar10_2021,18888452,109713,488480,2834,16995568,1404404,19054
Mar11_2021,18997766,109314,491311,2831,17064137,1442318,19036
Mar12_2021,19113583,115817,494031,2720,17131642,1487910,19055
Mar13_2021,19212234,98651,496521,2490,17193194,1522519,19100
Mar14_2021,19279063,66829,498085,1564,17252958,1528020,19230
Mar15_2021,19346136,66499,499976,1884,17327118,1519042,19292
Mar16_2021,19459317,113181,503357,3381,17445552,1510408,19344
Mar17_2021,19584191,124874,506760,3403,17553813,1523618,19413
Mar18_2021,19706947,122756,510170,3410,17633743,1563034,19466
Mar19_2021,19832034,125087,513568,3398,17707529,1610937,19578
Mar20_2021,19942221,110187,516452,2884,17773510,1652259,19605
Mar21_2021,20018743,76522,518160,1708,17841495,1659088,19600
Mar22_2021,20102227,83484,520302,2142,17929413,1652512,19700
Mar23_2021,20220684,118457,524014,3712,18051928,1644742,19850
Mar24_2021,20351284,130600,526837,2823,18169578,1654869,19872
Mar25_2021,20486046,134762,530168,3331,18282171,1673707,19988
Mar26_2021,20617723,130585,534455,4287,18366495,1716773,20000
Mar27_2021,20743319,124797,538515,4060,18456987,1747817,20108
Mar28_2021,20825881,81973,540865,2350,18535453,1749563,20110
Mar29_2021,20906315,80434,543708,2628,18626705,1735902,20341
Mar30_2021,21032373,126058,548026,4318,18765983,1718364,21126
Mar31_2021,21170245,137872,552678,4652,18894920,1722647,21166
Apr01_2021,21314622,144377,557114,4436,19000181,1757327,20993
Apr02_2021,21427721,113099,560577,3463,19075234,1791910,21337
Apr03_2021,21509405,81684,563287,2710,19141781,1804337,21426
Apr04_2021,21585983,76578,565291,2004,19238686,1782006,21392
Apr05_2021,21668424,82441,567846,2555,19363743,1736835,21509
Apr06_2021,21805856,137432,572940,5094,19529197,1703719,21702
Apr07_2021,21955718,149862,577682,4742,19676461,1701575,21618
Apr08_2021,22110108,154390,583043,5361,19791105,1735960,21744
Apr09_2021,22268707,158599,587854,4811,19898356,1782497,21864
Apr10_2021,22401710,133003,591756,3902,19988948,1821006,21990
Apr11_2021,22496764,95054,594543,2787,20080740,1821481,22513
Apr12_2021,22590548,93784,597356,2813,20204942,1788250,22369
Apr13_2021,22734019,143471,602126,4770,20384027,1747866,24167
Apr14_2021,22875328,141309,606857,4731,20527779,1740692,24316
Apr15_2021,23032855,157527,612233,5376,20650543,1770079,24358
Apr16_2021,23176819,143964,616497,4264,20765828,1794494,24479
Apr17_2021,23306565,127468,620639,4075,20873967,1811959,24511
Apr18_2021,23406284,99719,623421,2782,20989544,1793319,24683
Apr19_2021,23491956,85672,626272,2851,21120247,1745437,24923
Apr20_2021,23635736,143744,631173,4900,21283786,1720777,26034
Apr21_2021,23773969,138233,635647,4474,21424268,1714054,26228
Apr22_2021,23896097,122128,639580,3933,21515405,1741112,26461
Apr23_2021,24043881,147784,644237,4657,21615453,1784191,26538
Apr24_2021,24176598,132717,648777,4540,21734621,1793200,26591
Apr25_2021,24262895,86297,651342,2565,21844192,1767361,26965
Apr26_2021,24344772,81877,654248,2906,21994141,1696383,27484
Apr27_2021,24483311,138539,659064,4816,22129801,1694446,27657
Apr28_2021,24627517,144206,663571,4507,22276792,1687154,27648
Apr29_2021,24767116,139599,668553,4982,22393424,1705139,27857
Apr30_2021,24904634,137518,673021,4468,22491711,1739902,27824
May01_2021,25021673,116900,676724,3702,22592875,1752074,27842
May02_2021,25098283,76610,679238,2514,22687904,1731141,27796
May03_2021,25176787,78504,681857,2619,22802639,1692291,27861
May04_2021,25305657,128870,686364,4507,22958309,1660984,27842
May05_2021,25439682,134025,690782,4418,23123625,1625275,27806
May06_2021,25579467,139785,694838,4056,23238971,1645658,27681
May07_2021,25721436,141969,698768,3930,23335296,1687372,27688
May07_2021,25721436,141969,698768,3930,23335296,1687372,27688
May08_2021,25841735,120299,702184,3416,23424665,1714886,27665
May09_2021,25923135,81400,704532,2348,23519862,1698741,27678
May09_2021,25923135,81400,704532,2348,23519862,1698741,27678
May10_2021,25999378,76243,707095,2563,23613445,1678838,27738
May11_2021,26130261,130883,710853,3758,23743232,1676176,28299
May12_2021,26270468,140207,714869,4016,23859284,1696315,28256
May13_2021,26416486,146018,718992,4123,23963543,1733951,28211
May14_2021,26568095,151609,722949,3957,24060560,1784586,28240
May15_2021,26701562,133467,726678,3729,24142805,1832079,28308
May16_2021,26788520,86958,729017,2339,24235592,1823911,28328
May17_2021,26881583,93063,731713,2696,24337916,1811954,28464
May18_2021,27023355,141772,736120,4407,24481501,1805734,28598
May19_2021,27181741,158386,740213,4093,24606861,1834667,28643
May21_2021,27500022,154220,748445,4116,24810671,1940906,28807
May22_2021,27647386,147204,751694,3249,24902023,1993669,28910
May23_2021,27751256,103870,754110,2416,24984466,2012680,28996
May24_2021,27844733,93477,756446,2336,25116269,1972018,29239
May25_2021,27987218,142485,760096,3650,25268415,1958707,29437
May26_2021,28149901,162683,764124,4028,25407141,1978636,29515
May27_2021,28309133,159232,767998,3874,25533338,2007797,29656
May28_2021,28446711,137578,772080,4082,25625629,2049002,29810
May29_2021,28603033,153941,775672,3583,25756160,2071201,29823
May30_2021,28710015,106982,778038,2366,25866687,2065290,30159
May31_2021,28810297,100282,780433,2395,25980617,2049247,30264
Jun01_2021,28972880,160349,784291,3858,26155422,2033167,30408
Jun02_2021,29152479,179599,903777,4321,24602736,1865476,30583
Jun03_2021,29320379,167900,907919,4142,24731287,1897860,30679
Jun04_2021,29448286,127907,911044,3125,24809007,1937882,30651
Jun05_2021,29592144,143858,914375,3331,24933841,1949610,30685
Jun06_2021,29694013,101869,917021,2646,25075910,1904023,30738
Jun07_2021,29794148,100135,920032,3011,25220378,1855496,30781
Jun08_2021,29917373,123225,924623,4591,25373821,1818153,30721
Jun09_2021,30079545,162172,929014,4391,25537310,1809497,30724
Jun10_2021,30251876,172331,933492,4478,25681562,1829412,30718
Jun11_2021,30417215,165339,937692,4200,25800181,1869386,30765
Jun12_2021,30562711,145496,941501,3809,25910315,1898279,32301
Jun13_2021,30659751,97040,944166,2665,26007955,1892713,32311
Jun14_2021,30761030,101279,946930,2764,26145753,1853016,32343
Jun15_2021,30919091,158061,951559,4629,26305002,1844314,32194
Jun16_2021,31082526,163435,956181,4622,26462199,1838478,32030
Jun17_2021,31232133,149607,960380,4199,26577435,1864359,31885
Jun18_2021,31401159,169026,964529,4149,26705399,1897985,31771
Jun19_2021,31545494,144335,968572,4043,26821580,1918815,31668
Jun20_2021,31643387,97893,971120,2548,26926799,1906268,31592
Jun21_2021,31729256,85869,973705,2581,27050425,1865160,31568
Jun22_2021,31879392,150136,977824,4013,27210993,1847875,31484
Jun23_2021,32065396,186004,982032,4208,27365175,1872813,31414
Jun24_2021,32210833,145304,985757,3725,27459802,1916374,31279
Jun25_2021,32365913,155080,989669,3912,27562687,1961742,31044
Jun26_2021,32498034,132121,992875,3202,27661162,1989524,30971
Jun27_2021,32589434,91400,995251,2376,27757263,1980704,30825
Jun28_2021,32675579,86145,997761,2510,27874241,1946173,30706
Jun29_2021,32800880,125301,1001100,3339,28037136,1905240,30429
Jun30_2021,32909344,105966,1004975,3707,28167377,1877258,30030
Jul01_2021,33037816,126062,1008667,3458,28299223,1865059,29690
Jul02_2021,33165637,127821,1012416,3749,28420601,1865178,29356
Jul03_2021,33273743,108106,1015426,3010,28526769,1861505,29209
Jul04_2021,33346543,72800,1017584,2158,28627324,1829752,29134
Jul05_2021,33420663,74120,1020044,2460,28766891,1760440,29048
Jul06_2021,33542173,121510,1023285,3241,28943001,1700424,28994
Jul07_2021,33650764,108591,1026279,2994,29085039,1661552,28815
Jul08_2021,33758718,107869,1029620,3341,29213923,1634898,28691
Jul09_2021,33863587,104869,1032379,2759,29325784,1622978,28498
Jul10_2021,33954473,90886,1034927,2548,29433229,1601751,28423
Jul11_2021,34011964,57491,1036701,1774,29549706,1539167,28243
Jul12_2021,34068852,56888,1038762,2061,29676255,1466766,28041
Jul13_2021,34161389,92537,1041543,2781,29825390,1405495,27899
Jul14_2021,34264885,103496,1044533,2990,29950248,1378973,27670
Jul15_2021,34363007,98122,1047442,2909,30053481,1368786,27494
Jul16_2021,34453261,90254,1050185,2743,30131005,1376831,27249
Jul17_2021,34529179,75918,1052127,1942,30204467,1375507,27222
Jul18_2021,34595176,65997,1054008,1881,30289636,1352924,27086
Jul19_2021,34644137,48961,1055697,1689,30371984,1317254,26896
Jul20_2021,34707321,63140,1066935,2452,30464885,1274820,26732
Jul21_2021,34794867,87546,1069373,2438,30576435,1246677,26884
Jul22_2021,34878809,83942,1071874,2501,30665459,1237501,26765
Jul23_2021,35023261,81561,1074157,2283,30773663,1269998,26498
Jul24_2021,35089673,66412,1076105,1948,30819323,1287136,26395
Jul25_2021,35131605,41932,1077346,1241,30857903,1287852,26203
Jul26_2021,35175912,44307,1078900,1554,30943810,1244170,26094
Jul27_2021,35250543,74631,1080989,2089,31051441,1207800,26017
Jul28_2021,35329486,78943,1083388,2399,31147894,1186469,25918
Jul29_2021,35404980,70886,1086427,2334,31218569,1187603,25719
Jul30_2021,35474544,69564,1088393,1966,31272848,1200300,25538
Jul31_2021,35538060,63516,1090032,1639,31325691,1207297,25465
Aug01_2021,35578958,40898,1091071,1039,31377733,1193391,25353
Aug02_2021,35616149,37191,1092300,1229,31447242,1158680,25270
Aug03_2021,35675657,59508,1094409,2109,31531864,1129330,25149
Aug04_2021,35743819,68162,1096275,1866,31609299,1115850,25278
Aug05_2021,35811152,66925,1098212,1910,31675778,1112861,25173
Aug06_2021,35879822,68670,1099826,1614,31730851,1123406,25076
Aug07_2021,35943381,63559,1101577,1751,31784346,1130203,25003
Aug08_2021,35972268,28241,1102513,922,31819218,1122142,24950
Aug09_2021,36002066,29798,1103622,1109,31874171,1095454,24848
Aug10_2021,36057507,55441,1105344,1722,31977886,1044345,24842
Aug11_2021,36116280,58695,1107112,1768,32066617,1011181,24813
