Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
Taiwan,"202,296","+28,365",881,+5,"29,697","171,718",0,"8,466",37,"15,009,750","628,131"
Kyrgyzstan,"200,993",0,"2,991",0,"196,406","1,596",131,"29,902",445,"1,907,195","283,737"
Iceland,"185,795",0,119,0,"75,685","109,991",0,"538,057",345,"2,264,004","6,556,496"
Maldives,"179,171",0,298,0,"163,687","15,186",25,"321,088",534,"2,213,831","3,967,354"
Afghanistan,"178,901",0,"7,683",0,"161,896","9,322","1,124","4,413",190,"944,738","23,306"
Uganda,"164,069",0,"3,596",0,"100,205","60,268",2,"3,391",74,"2,612,795","53,994"
El Salvador,"162,089",0,"4,128",0,"150,662","7,299",8,"24,761",631,"1,950,448","297,948"
Ghana,"161,216",0,"1,445",0,"159,737",34,1,"4,997",45,"2,438,498","75,582"
Namibia,"158,940",+66,"4,025",0,"153,662","1,253",0,"60,541","1,533","1,009,474","384,513"
Martinique,"153,253",0,926,0,104,"152,223",8,"408,968","2,471","828,928","2,212,061"
Trinidad and Tobago,"149,532",+555,"3,843",+5,"137,013","8,676",18,"106,216","2,730","712,717","506,261"
Brunei,"142,166",+87,218,0,"141,408",540,0,"319,355",490,"717,784","1,612,396"
Guadeloupe,"140,130",0,854,0,"2,250","137,026",19,"350,106","2,134","938,039","2,343,633"
Cambodia,"136,258",+1,"3,056",0,"133,156",46,0,"7,948",178,"2,954,445","172,336"
Jamaica,"130,473",+85,"2,970",+1,"83,874","43,629",0,"43,711",995,"1,008,811","337,973"
Rwanda,"129,819",+4,"1,459",0,"45,522","82,838",0,"9,587",108,"5,285,642","390,339"
Cameroon,"119,780",0,"1,927",0,"117,791",62,13,"4,315",69,"1,751,774","63,109"
Angola,"99,194",0,"1,900",0,"97,149",145,0,"2,855",55,"1,499,795","43,170"
Malta,"92,308",+158,703,+1,"87,926","3,679",4,"208,041","1,584","1,889,711","4,258,974"
DRC,"87,023",0,"1,337",0,"50,930","34,756",0,920,14,"846,704","8,955"
Senegal,"86,010",+3,"1,966",0,"84,025",19,0,"4,900",112,"1,071,480","61,042"
Malawi,"85,795",+5,"2,634",0,"82,069","1,092",67,"4,282",131,"575,161","28,705"
Ivory Coast,"81,967",+8,799,0,"81,132",36,0,"2,972",29,"1,503,708","54,529"
French Guiana,"80,859",0,395,0,"11,254","69,210",2,"258,433","1,262","627,211","2,004,625"
Suriname,"79,393",0,"1,328",0,"49,402","28,663",0,"133,148","2,227","236,066","395,899"
Channel Islands,"74,642",0,171,0,"73,655",816,0,"422,174",967,"1,252,808","7,085,858"
French Polynesia,"72,765",+19,648,0,0,0,7,"256,316","2,283",0,0
Barbados,"71,127",0,399,0,"67,374","3,354",0,"246,951","1,385","652,229","2,264,519"
