Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
Mar14_2021,34571004,49416,791547,1334,25893763,7885694,15854
Mar15_2021,34637277,54389,792626,1085,26022155,7822496,15757
Mar16_2021,34740697,62764,794336,1585,26107332,7839029,15738
Mar17_2021,34813403,72252,795908,1578,26207146,7810349,15715
Mar18_2021,34891959,77103,798615,2592,26296555,7796789,15695
Mar19_2021,34976152,82281,801050,2057,26391023,7784079,15550
Mar20_2021,35046327,69689,802522,1502,26475018,7768787,15242
Mar21_2021,35098370,52043,803664,1142,26554481,7740225,15135
Mar22_2021,35163499,55689,804594,935,26661877,7697028,15117
Mar23_2021,35234158,69792,805848,1252,26860647,7567663,15142
Mar24_2021,35316960,81295,808286,2304,26960231,7548443,15162
Mar25_2021,35402048,82393,810272,1829,27040767,7551009,15270
Mar26_2021,35497821,93750,812382,2001,27130980,7554459,15219
Mar27_2021,35575881,77609,813980,1515,27213793,7548108,15205
Mar28_2021,35639491,62045,815136,1153,27290169,7534186,15163
Mar29_2021,35716598,68694,816068,891,27394178,7506352,15302
Mar30_2021,35791734,74123,817328,1201,27483369,7491037,15313
Mar31_2021,35876546,84341,819424,2093,27581514,7475608,15410
Apr01_2021,35969981,92476,821383,1621,27673721,7474877,15404
Apr02_2021,36053289,81990,822999,1537,27754163,7476127,15393
Apr03_2021,36137870,83577,824086,1087,27834484,7479300,15366
Apr04_2021,36197990,53583,824559,481,27894611,7478820,15412
Apr05_2021,36273905,70985,825290,724,28022365,7426250,15484
Apr06_2021,36352403,75927,826665,1286,28098632,7427106,15824
Apr07_2021,36447129,93104,829963,1582,28194730,7422436,15930
Apr08_2021,36546161,99026,831683,1721,28274149,7440329,16040
Apr09_2021,36653452,107291,833343,1605,28361314,7458795,16081
Apr10_2021,36738704,83984,837248,1050,28449264,7452192,16220
Apr11_2021,36805201,65766,837603,397,28517449,7450149,16208
Apr12_2021,36891891,71670,838305,693,28612507,7441079,16380
Apr13_2021,36990895,96083,839749,1382,28690229,7460917,16594
Apr14_2021,37087231,96336,841390,1643,28772733,7473108,16829
Apr15_2021,37184687,95950,842974,1568,28861089,7480624,17031
Apr16_2021,37287943,101993,844465,1445,28940164,7503314,16987
Apr17_2021,37359170,80894,845901,1339,29026445,7486824,17091
Apr18_2021,37417454,58282,846851,955,29090007,7480596,17164
Apr19_2021,37505338,67128,847562,698,29188583,7469193,17195
Apr20_2021,37582123,75523,848741,1148,29266575,7466807,17436
Apr21_2021,37667747,85091,850344,1605,29355841,7461562,17543
Apr22_2021,37755083,87336,851938,1594,29429666,7473479,17504
Apr23_2021,37841599,86446,853485,1488,29504743,7483371,17371
Apr24_2021,37913600,71332,854851,1303,29562346,7496403,17495
Apr25_2021,37962587,48987,855558,707,29616102,7490927,17499
Apr26_2021,38029648,62469,856283,706,29729562,7443803,17599
Apr27_2021,38096027,66379,857397,1226,29791399,7447231,17532
