Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
October21,12786776,98300,228599,1576,11198123,1360054,20946
October22,12883834,97077,230114,1517,11304906,1348814,21027
October23,12981550,97716,231693,1579,11401479,1348378,21089
October24,13070683,89133,233115,1422,11492621,1344947,21131
October25,13155964,85281,234389,1274,11597314,1324261,21096
October26,13229169,73210,235814,1425,11692274,1301081,21100
October27,13312829,83670,237231,1394,11783043,1292555,21051
October28,13405777,92948,238684,1453,11875561,1291532,21132
October29,13499272,93495,240140,1456,11965721,1293411,21292
October30,13591257,91985,241541,1401,12058866,1290850,21391
October31,13678055,86805,242934,1393,12148967,1286154,21617
November01,13766567,88524,244368,1434,12256386,1265813,21970
November02,13849247,82126,245882,1483,12348528,1254837,22158
November03,13941168,91921,247394,1512,12433058,1260716,22427
November04,14038547,97379,249121,1727,12529781,1259645,22474
November05,14135377,96830,250774,1653,12618904,1265699,22649
November06,14235984,100607,252370,1596,12707170,1276444,22791
November07,14330702,94718,253856,1486,12788201,1288645,22995
November08,14425925,95223,255351,1502,12881397,1289177,23041
November09,14510817,84896,256869,1518,12958863,1295085,23421
November10,14606205,95435,258412,1543,13044784,1303009,23634
November11,14707173,100973,260083,1629,13130175,1316915,23762
November12,14804757,97584,261647,1564,13211570,1331540,24020
November13,14904676,99928,263281,1634,13295832,1345563,24248
November14,14999287,94611,264788,1507,13371690,1362809,24450
November15,15081062,81775,266253,1465,13464036,1350773,24544
November16,15161737,80677,267725,1471,13537821,1356191,24790
November17,15255231,93494,269309,1584,13700791,1285131,24951
November18,15360655,105428,271135,1780,13790043,1299477,25144
November19,15467697,107042,272855,1720,13884457,1310385,25242
November20,15575954,108257,274824,1692,13977961,1323169,25395
November21,15679994,104040,276446,1622,14066752,1336796,25642
November22,15785520,105526,278192,1746,14169762,1337566,25784
November23,15883284,97764,279839,1647,14256179,1347266,26023
November24,15990419,107145,281545,1706,14340801,1368073,26194
November25,16098669,108250,283358,1768,14427706,1387605,26466
November26,16236984,109964,285124,1766,14513781,1438079,26649
November27,16383173,131538,286784,1693,14599676,1496713,26961
November28,16511389,128216,288481,1697,14687604,1535304,27055
November29,16637088,125699,290168,1687,14794135,1552785,27154
November30,16753801,116720,291761,1592,14893146,1568894,27142
December01,16876328,122527,293478,1717,14989622,1593228,27310
December02,17000662,123030,295150,1672,15078078,1627434,27589
December03,17133901,133239,296890,1740,15175024,1661987,27937
December04,17260664,126763,298578,1644,15267399,1694687,27966
December05,17386122,125458,300148,1570,15362172,1723802,28124
December06,17503029,116907,301621,1473,15464292,1737116,28089
December07,17614440,111411,303102,1481,15554897,1756441,28208
December08,17732207,118072,304755,1642,15661103,1766349,28168
December09,17844002,111795,306222,1467,15747554,1790226,28162
December10,18757862,121059,307881,1659,16553697,1896284,28242
December11,18872094,114232,309355,1481,17026980,1535759,28188
December12,18982116,110022,310839,1484,17149681,1521596,28106
December13,19084467,102351,312235,1396,17265910,1506322,27408
December14,19179378,94917,313635,1399,17376495,1489248,27422
December15,19286057,106708,315240,1545,17489523,1481294,27463
December16,19386611,100561,316717,1477,17602377,1467517,27531
December17,19491964,105353,318146,1429,17721400,1452418,27313
December18,19595037,102616,319501,1355,17829024,1446512,27213
December19,19691625,96588,320908,1405,17936486,1434231,27021
December20,19780791,89175,322393,1485,18042922,1415476,26706
December21,19861059,80238,323782,1389,18152703,1384574,26535
December22,19949483,88424,325282,1451,18261695,1362506,26336
December23,20039095,89210,326661,1374,18377487,1334947,26160
December24,20128279,89184,328083,1422,18487395,1312801,25964
December25,20213880,85601,329417,1334,18593264,1291199,25874
December26,20289585,75705,330654,1237,18686442,1272489,25642
December27,20362671,73086,332013,1359,18786572,1244086,25295
December28,20433446,70777,333259,1245,18877789,1222398,25162
December29,20514831,81385,334740,1413,18973413,1206678,25150
December30,20598431,83600,336131,1391,19069989,1192311,24975
December31,20681900,83470,337354,1223,19165843,1178703,24816
Jan01_2021,20757124,74591,338426,1072,19244668,1174030,24787
Jan02_2021,20832252,75129,339668,1241,19330430,1162154,24751
Jan03_2021,20899233,66981,340729,1061,19416167,1142337,24111
Jan04_2021,20975194,75961,341773,1044,19498255,1135166,24409
Jan05_2021,21056486,81292,342993,1220,19570120,1143373,24356
Jan06_2021,21142705,86219,344070,1077,19648583,1150052,24356
Jan07_2021,21229402,86697,345206,1136,19725607,1158589,24205
Jan07_2021,21229402,86697,345206,1136,19725607,1158589,24205
Jan08_2021,21315247,85845,346403,1139,19803026,1165818,24229
Jan09_2021,21401512,86265,347502,1099,19874479,1179531,24016
Jan10_2021,21480812,79300,348466,964,19954109,1178237,23985
Jan11_2021,21555860,75048,349448,982,20025266,1181146,23976
Jan12_2021,21639007,83147,350833,1355,20096905,1191269,24507
Jan13_2021,21724742,85735,352150,1317,20170501,1202091,24468
Jan14_2021,21810381,85639,353324,1174,20246998,1210059,24419
Jan15_2021,21892437,81815,354538,1211,20317143,1220756,24167
Jan16_2021,21977618,85181,355655,1117,20389103,1232860,24289
Jan17_2021,22051234,73580,356646,991,20464903,1229685,25965
Jan18_2021,22120698,69464,357704,1058,20542968,1220026,24226
Jan19_2021,22195999,75301,358887,1183,20613580,1223532,24111
Jan20_2021,22277152,81152,360136,1195,20695427,1221589,24225
Jan21_2021,22353813,76661,361393,1257,20775003,1217417,24143
Jan22_2021,22429893,76053,362426,1033,20849512,1217955,24108
Jan23_2021,22503873,73980,363493,1067,20926764,1213616,23930
Jan24_2021,22571371,67498,364496,1003,21007656,1199219,23716
Jan25_2021,22637043,65672,365568,1072,21081298,1190177,23717
Jan26_2021,22711176,74133,366807,1166,21153237,1191132,23815
Jan27_2021,22786575,75399,368107,1300,21230224,1188244,23757
Jan28_2021,22869803,83228,369477,1370,21316377,1183949,23724
Jan29_2021,22945710,75907,370418,941,21389546,1185746,23789
Jan30_2021,23020850,75140,371732,1024,21458441,1190677,23624
Jan31_2021,23089751,68901,372783,1051,21545558,1171410,23525
Feb01_2021,23157229,67478,373712,929,21607866,1175651,23462
Feb02_2021,23226270,69041,374808,1096,21689647,1161815,23144
Feb03_2021,23302478,76208,375824,1016,21765782,1160872,23151
Feb04_2021,23375765,73287,376827,1003,21837325,1161613,23062
Feb05_2021,23445681,69923,377848,957,21903076,1164757,22945
Feb06_2021,23514342,68654,378698,850,21987209,1148435,22809
Feb07_2021,23578719,64377,379561,863,22072481,1126677,22693
Feb08_2021,23641351,62632,380445,884,22164116,1096790,22608
Feb09_2021,23708679,67328,381337,892,22213525,1113817,22539
Feb11_2021,23844193,65680,383202,916,22356141,1104850,22412
Feb12_2021,23911658,67465,384094,892,22422153,1105411,22439
Feb13_2021,23974805,63147,384979,885,22491778,1098048,22355
Feb14_2021,24033695,58890,385751,772,22579512,1068432,22376
Feb15_2021,24094517,60382,386440,689,22646511,1061566,22322
Feb16_2021,24162732,68655,387281,841,22712084,1063367,22290
Feb17_2021,24231347,68615,388146,866,22779989,1063212,22214
